main_player,game_id
menelaus34,179879855
menelaus34,179878188
menelaus34,179859510
menelaus34,179859292
menelaus34,179590344
menelaus34,179498850
menelaus34,179488748
menelaus34,179111861
menelaus34,179104913
menelaus34,178905617
menelaus34,178904939
menelaus34,178904166
menelaus34,178893915
menelaus34,178891356
menelaus34,178900471
menelaus34,178890139
menelaus34,178849220
menelaus34,178689719
menelaus34,178689540
menelaus34,178678977
diggs,178348181
diggs,178353228
diggs,178332992
diggs,178332484
diggs,177656591
diggs,177655014
diggs,177465330
diggs,177027312
diggs,177006333
diggs,177015706
diggs,176888185
diggs,176897603
diggs,176835876
diggs,176737693
diggs,176617521
diggs,176641111
diggs,176629759
diggs,176594234
diggs,176407459
diggs,176416372
bumster,179859292
bumster,179858743
bumster,179735418
bumster,179724782
bumster,179734236
bumster,179723961
bumster,179600974
bumster,179488899
bumster,179487146
bumster,179376223
bumster,179076341
bumster,179095530
bumster,179044553
bumster,179022887
bumster,178360878
bumster,178349468
bumster,178348181
bumster,178353228
bumster,178307595
bumster,177601228
mwaxy,176351798
mwaxy,176351370
mwaxy,176288788
mwaxy,176274643
mwaxy,176274063
mwaxy,176179085
mwaxy,176178735
mwaxy,176212335
mwaxy,176167615
mwaxy,176167442
mwaxy,176176778
mwaxy,176108703
mwaxy,176127263
mwaxy,176132964
mwaxy,176113489
mwaxy,176111411
mwaxy,176101243
mwaxy,176046647
mwaxy,176045823
mwaxy,176043819
loui8sdstk,179949405
loui8sdstk,179951612
loui8sdstk,179941399
loui8sdstk,179950281
loui8sdstk,179909689
loui8sdstk,179909190
loui8sdstk,179888831
loui8sdstk,179901443
loui8sdstk,179881482
loui8sdstk,179900716
loui8sdstk,179900112
loui8sdstk,179859510
loui8sdstk,179838682
loui8sdstk,179857787
loui8sdstk,179729127
loui8sdstk,179738196
loui8sdstk,179736503
loui8sdstk,179587960
loui8sdstk,179378460
loui8sdstk,179138427
smatties,178337735
smatties,178360878
smatties,178349468
smatties,178279785
smatties,178260971
smatties,178152014
smatties,177628756
smatties,177637803
smatties,177571962
smatties,177118769
smatties,176738793
smatties,176738342
smatties,176728050
smatties,176353333
smatties,176342971
smatties,176342513
smatties,176351489
smatties,176340965
smatties,176179085
smatties,176178735
2dmin,156073563
2dmin,156048889
2dmin,156058162
2dmin,156057022
2dmin,156056085
2dmin,155998390
2dmin,156021662
2dmin,155996772
2dmin,155928994
2dmin,155915402
2dmin,155914353
2dmin,155923442
2dmin,155921883
2dmin,155745282
2dmin,155725896
2dmin,155685984
2dmin,155453774
2dmin,155443429
2dmin,155452931
2dmin,155442577
